Author,Comment,Clean_Comment
@wulanyamari6591,"Bagus Plus Keren, semoga karya seni kalian semakin BERKIBAR ke seluruh dunia. 

*Agnez Mo, Anggun C Sasmi,kalian nontonlah ini sebentar saja,

*Mas Alan Walker lirik-lirik sedikit lah ke mari nyimak bentaran lagu Weird Genius

Siapa tau kalian mau berkolaborasi bikin album musik dengan Weird Genius️",bagus plus keren semoga karya seni kalian semakin berkibar ke seluruh dunia agnez mo anggun c sasmikalian nontonlah ini sebentar saja mas alan walker liriklirik sedikit lah ke mari nyimak bentaran lagu weird genius siapa tau kalian mau berkolaborasi bikin album musik dengan weird genius
@LangprayOfficial,"INDONESIA BANGGA PUNYA ""WG"" 

Dari Segi Konsep nya udah gilaaaaa, keren banget anjir, apalagi bawa unsur kebudayaan. sekali lagi KEREN buat semua yang terlibat dalam project ini.",indonesia bangga punya wg dari segi konsep nya udah gilaaaaa keren banget anjir apalagi bawa unsur kebudayaan sekali lagi keren buat semua yang terlibat dalam project ini
@ririnpsptasri4966,this music video should go into trending. why tf they so underrated even in their own country. they deserve better than this!,this music video should go into trending why tf they so underrated even in their own country they deserve better than this
@didincahyoofficial5035,Indonesian have musical talents from various cultures',indonesian have musical talents from various cultures
@ironicscrap,Gaes gimana editan parody gw:p,gaes gimana editan parody gwp
@justnobody9101,"Whoever produce this music, they are in a GREAT TEAM.",whoever produce this music they are in a great team
@AndiMauludy,Vibes ramadhan 2020 #dirumahaja #psbb,vibes ramadhan dirumahaja psbb
@ellnino9617,"If this song compete in Eurovision Song Contest, there's a big chance they will win at the contest..

This song is a masterpiece!",if this song compete in eurovision song contest theres a big chance they will win at the contest this song is a masterpiece
@sihambh4435,"Oh my god the production is insane the vocals, the visuals everything's amazing I'm glad I discovered this song from Chan's room",oh my god the production is insane the vocals the visuals everythings amazing im glad i discovered this song from chans room
@richardjames2339,"Wowww.. This is what called as Masterpiece. The music, the lyrics, the vocals, those feelings when that traditional music played is Amazing. Wonderful job.",wo this is what called as masterpiece the music the lyrics the vocals those feelings when that traditional music played is amazing wonderful job
@G0BLOCK1,"Song lyrics
I was born a fool
Broken all the rules,
Seeing all nul,
Deying all of the truth,
Everything has changed,
It all happened for a reason,
Down from the first stage,,
It isn't for something we fought for,
Never wanted this kind of pain,
Turn my self so cold and heartless,
But one this you should know;
:Java: Kowe Ra ISO 'mlayu 
Saka (Soko) kesalahan,
Ajining Riri ana(Ono)
Ing LATHI
:English:pushing through the,
Countless pain, and
All i know that this love's a bless
And curse everything has changed,
It all happened for a reason,
Down from the first stage
It isn't something we fought for,
Never wanted this kind of pain,
Turned myself so cold and heartless,
But one thing you should know;!
:Java: Kowe Ra ISO 'mlayu,
Saka (Soko) kesalahan,
Ajining diri ana (Ono) 
Ing LATHI♪

Lasttt",song lyrics i was born a fool broken all the rules seeing all nul deying all of the truth everything has changed it all happened for a reason down from the first stage it isnt for something we fought for never wanted this kind of pain turn my self so cold and heartless but one this you should know java kowe ra iso mlayu saka soko kesalahan ajining riri anaono ing lathi englishpushing through the countless pain and all i know that this loves a bless and curse everything has changed it all happened for a reason down from the first stage it isnt something we fought for never wanted this kind of pain turned myself so cold and heartless but one thing you should know java kowe ra iso mlayu saka soko kesalahan ajining diri ana ono ing lathi lasttt
@fajrikurniawan8976,"if it's like this you have to go internasional introduce indonesian culture, this is the next level music indonesia. WE PROUD OF YOU!!!",if its like this you have to go internasional introduce indonesian culture this is the next level music indonesia we proud of you
@randytriedop.1681,"The javanese enchantress, do i wrong if i have this opinion? The way ya compose the song so much great. Thumbs up...",the javanese enchantress do i wrong if i have this opinion the way ya compose the song so much great thumbs up
@abdansyukur9290,Suka bangett perpaduan jawa sama inggrisnyaa gilaaa baguss bgt asli merindirngg,suka bangett perpaduan jawa sama inggrisnyaa gilaaa baguss banget asli merindirngg
@risnadamayanti28,"Selalu Merinding pas edm gamelan, keren",selalu merinding pas edm gamelan keren
@zaxep,tak berasa umur saya dah tambah 5 tahun,tak berasa umur saya dah tambah tahun
@apriliadeby,SUMPAH SIH INI KEREN BANGET ANJIRRRRRRRR AH,sumpah sih ini keren banget anjirrrrrrrr ah
