Author,Comment,Clean_Comment
@pinkgangsta6157,"EDMxGamelan ini punya potensi besar banget. Banyak musisi dunia yang belum kenal sama Gamelan lalu bertanya² ""hah ini instrument apa instrument apa ?""
Soal reaction Bangchan, dia amazed dengan bagian drop sampai diulang-ulang
""Ini drop kok bisa kayak gini ?"" 
dia paling bingung bagian itu. 

Klo Gamelan ini diangkat ke internasional keren sih",edmxgamelan ini punya potensi besar banget banyak musisi dunia yang belum kenal sama gamelan lalu bertanya hah ini instrument apa instrument apa soal reaction bangchan dia amazed dengan bagian drop sampai diulangulang ini drop kok bisa kayak gini dia paling bingung bagian itu kalau gamelan ini diangkat ke internasional keren sih
@muhammadridho6312,"Gua liat ini berulang ulang sambil ngerasain bangganya budaya Indonesia bisa dilihat di sini,
Gua jadi ngerasa bangga sendiri liatnya.
The best",gua liat ini berulang ulang sambil ngerasain bangganya budaya indonesia bisa dilihat di sini gua jadi ngerasa bangga sendiri liatnya the best
@febrisulistianagayatri8838,"Pencipta lagu, penyanyi nya, produser, dan semua yg terlibat dalam lagu ini, kalian kereeennn...
Kalian gak pantes cuma keliling indonesia, wajib go international
Trendingkan!!
Trending trending trending!!",pencipta lagu penyanyi nya produser dan semua yang terlibat dalam lagu ini kalian kereeennn kalian gak pantes cuma keliling indonesia wajib go international trendingkan trending trending trending
@ulinnafiah3160,"I was born a fool
Broken all the rules, oh-oh
Seeing all null
Denying all of the truth, oh-oh
Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know
Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi
Pushing through the countless pain
And all I know that this love's a bless and curse
Everything has changed
It all happened for a reason
Down from the first stage
It isn't something we fought for
Never wanted this kind of pain
Turned myself so cold and heartless
But one thing you should know
Kowe ra iso mlayu saka kesalahan
Ajining diri ana ing lathi",i was born a fool broken all the rules ohoh seeing all null denying all of the truth ohoh everything has changed it all happened for a reason down from the first stage it isnt something we fought for never wanted this kind of pain turned myself so cold and heartless but one thing you should know kowe ra iso mlayu saka kesalahan ajining diri ana ing lathi pushing through the countless pain and all i know that this loves a bless and curse everything has changed it all happened for a reason down from the first stage it isnt something we fought for never wanted this kind of pain turned myself so cold and heartless but one thing you should know kowe ra iso mlayu saka kesalahan ajining diri ana ing lathi
@rezafahleviio1,"Wong jowo like' disek boss. .
!!!",wong jowo like disek boss
@SYAITANNYAHU,Oktober 2025,oktober
@goriandriyanto2269,Ayo viral kan vidio ini yg setuju like di bawah  ayoo monggo coba dong jawa,ayo viral kan vidio ini yang setuju like di bawah ayoo monggo coba dong jawa
@robertusandhika1122,THIS IS A WORLD CLASS SONG  DUDE !!,this is a world class song dude
@Catsosaurus,"Never been so proud while listening to a song, this is a masterpiece hope you guys can go international and more people recognize your music.",never been so proud while listening to a song this is a masterpiece hope you guys can go international and more people recognize your music
@kris_suka_69,"Actually Your first sentences. Became a realty in August 2025.. 

So many chaos at my country.",actually your first sentences became a realty in august so many chaos at my country
@rigamulya7735,102jt,jt
@ucudiniati3435,klo like nya bisa mencet 100 kali aku like 100 kali nih vidio,kalau like nya bisa mencet kali aku like kali nih vidio
@stevensantoso5289,"damn lathi been so famous back then but yet still played in Autralia in music""s station emang pecah lathi, love from Canberra Australia",damn lathi been so famous back then but yet still played in autralia in musics station emang pecah lathi love from canberra australia
@emmanuelbenny6791,I heard it when I'm still young and remembered my memory and the dance is cool,i heard it when im still young and remembered my memory and the dance is cool
@bujurcrewchannel114,Kayak gini gak TRENDING Indonesia aneh . Giliran Culametan Trending . Hadeuhhh,kayak gini gak trending indonesia aneh giliran culametan trending hadeuhhh
@imozzly7754,"she is good action when she take the thunder to she body.
Good job guys, we proud of you 
uppsss sorry if my english so bad",she is good action when she take the thunder to she body good job guys we proud of you uppsss sorry if my english so bad
@pandupratama_1339,1 minute of silence for all people who can't find this song,minute of silence for all people who cant find this song
@putrimaharani5942,Lagu ini spt membawa kita ke dimensi lain..dunia penuh mistik dan kt kehilangan kesadaran.wow banget,lagu ini spt membawa kita ke dimensi laindunia penuh mistik dan kt kehilangan kesadaranwow banget
@yndslv,ada yang dari 2025 dan kengen lagu ini?,ada yang dari dan kengen lagu ini
@PratiwiBangapadang,Hai aku dari masa depan tahun 2025... Inget banget yha tahun 2020 masa corona,hai aku dari masa depan tahun inget banget yha tahun masa corona
@Muayinnetherland,Saya kerja di belanda di salah satu restoran siap saji pas kita kerja tuh biasanya ada musik suatu hari saya request buat di puterin lagu ini teman² saya dari berbagai negara ga nyangka sekeren itu musik dn lagu Indonesia sampe mereka searching sendiri soal musik indo,saya kerja di belanda di salah satu restoran siap saji pas kita kerja tuh biasanya ada musik suatu hari saya request buat di puterin lagu ini teman saya dari berbagai negara tidak nyangka sekeren itu musik dn lagu indonesia sampe mereka searching sendiri soal musik indo
@AntonBandar,Aseeek..,aseeek
@mirahwulandari5052,Krenn oarah... Q kira bukan orang indonesia penyanyinya.... Baru sadar.... Ada lirik jawanya,krenn oarah q kira bukan orang indonesia penyanyinya baru sadar ada lirik jawanya
@somanitaly5922,I'm from Cambodia love this song,im from cambodia love this song
@justlockyn,"Lagu zaman covid, udah 5tahun aja",lagu zaman covid udah tahun saja
@Zaitsevka,"Wait seems i repost this before.
Everyone: find this on tiktok
Me: FIND THIS AT SPOTIFY


Oh damn my grammar is sucks",wait seems i repost this before everyone find this on tiktok me find this at spotify oh damn my grammar is sucks
@mizzanul1390,"Eh ini harus go internasional ayo trending kan gua pengen weird genius mendunia ayo trendingkan biar weird genius seperti rich brian, Stephanie putri, Niki, Agnez mo, yang udh go internasional gua salut bro tetep semangat untuk berkarya buktikan anak bangsa bisa go internasional",eh ini harus go internasional ayo trending kan gua pengen weird genius mendunia ayo trendingkan biar weird genius seperti rich brian stephanie putri niki agnez mo yang sudah go internasional gua salut bro tetep semangat untuk berkarya buktikan anak bangsa bisa go internasional
@myzy457,"edit tan ama edm anjayy, nyampe merinding gitu gua dngernya",edit tan ama edm anjayy nyampe merinding gitu gua dngernya
@iputupurnama8481,Ak Bali agm Bali ️️️️️,ak bali agm bali
@ooobzv,"I really love this song! I'm a gamer, and I can say, this kind of lyrics, tuning and everything are so eargasm for us! Just my opinion",i really love this song im a gamer and i can say this kind of lyrics tuning and everything are so eargasm for us just my opinion
@Ihduycp1825,"Just my opinion, ini salah satu lagu/MV/karya yg dikemas secara apik, yg dibuat secara ga asal asalan. Karna jujur, gua dengerin ini ga berenti berenti. Padahal gua peka banget sama suara tembang/gamelan/apalah itu disebutnya yg mana gua gasuka banget kalo udah denger suara kek gitu (karna gua emang kurang suka musik kek lingsir wengi). Alasan gua ga berenti dengerin ini mungkin karna genrenya EDM. Dan emang gabisa boong gua, ini bagus parah. 
Bahasa jawa dan bahasa inggrisnya dicampur tapi enak didenger dan ga terkesan ""MAKSA"". Pokonya bener bener bagus banget si. Top banget.
Semangat Weird Genius. Tetep bikin karya yg apik alias ga asal asalan yg cuma untuk viral gajelas kek yg udah ada di negara ini -_- wkwkwk
P.s : ini opini sendiri ya, maap kalo ada kata kata yg kurang enak dibaca",just my opinion ini salah satu lagumvkarya yang dikemas secara apik yang dibuat secara tidak asal asalan karna jujur gua dengerin ini tidak berenti berenti padahal gua peka banget sama suara tembanggamelanapalah itu disebutnya yang mana gua gasuka banget kalo udah denger suara kek gitu karna gua emang kurang suka musik kek lingsir wengi alasan gua tidak berenti dengerin ini mungkin karna genrenya edm dan emang gabisa boong gua ini bagus parah bahasa jawa dan bahasa inggrisnya dicampur tapi enak didenger dan tidak terkesan maksa pokonya bener bener bagus banget si top banget semangat weird genius tetep bikin karya yang apik alias tidak asal asalan yang cuma untuk viral gajelas kek yang udah ada di negara ini wkwkwk ps ini opini sendiri ya maap kalo ada kata kata yang kurang enak dibaca
@peleddragon8098,"Liat d fb ada yg posting lagi ini, dia pun heran kenapa lagi kayak gini gk boming di negri sendiri,.
Dan giliran gw dengerin lagunya,
Gw pun ikut heran, lagu sekeren ini ko gw malah baru denger dan kenapa gk banyak orang yg ngeshare,
 baru kali ini gw dengerin lagu sampe merinding,..

Lanjutkan karya andan, lestarikan budaya kita. 
I like your song",liat d fb ada yang posting lagi ini dia pun heran kenapa lagi kayak gini tidak boming di negri sendiri dan giliran gw dengerin lagunya gw pun ikut heran lagu sekeren ini ko gw malah baru denger dan kenapa tidak banyak orang yang ngeshare baru kali ini gw dengerin lagu sampe merinding lanjutkan karya andan lestarikan budaya kita i like your song
@rikoardian6159,"Ayok guys tembuskan 1 jt like
Karna karya sepwrti ini layak mendunia",ayok guys tembuskan jt like karna karya sepwrti ini layak mendunia
@dhaniiieey3906,"Ditonton : 16juta
Like: 1,2 juta


Yang dislike ga ada akhlak",ditonton juta like juta yang dislike tidak ada akhlak
@ginam5189,Gaada tambahan tombol like? Bagus bangett woy,gaada tambahan tombol like bagus bangett woy
@rahmanhakim958,UP TRENDING NUMBER 1,up trending number
@PutraRahman-l2u,Gw di 2025 pen nonton youtube eh ketemu sama lagu ini jadi nostalgia keren sih indonesia bisa bikin lagu bagus kayak gini sampai orang luar negeri juga reaction super GG bangga gw,gw di pen nonton youtube eh ketemu sama lagu ini jadi nostalgia keren sih indonesia bisa bikin lagu bagus kayak gini sampai orang luar negeri juga reaction super gg bangga gw
@kojekterdampar8924,2025 mampir kesini coment,mampir kesini coment
@tisnaanidia21,"Balinese done
Javanese done 

next Sundanese , im hoping ??",balinese done javanese done next sundanese im hoping
@herikurniawan2801,"25oct14..
after long time comeback here again, the geniusm of arap and eka.. #bigrespect",oct after long time comeback here again the geniusm of arap and eka bigrespect
@shevoka9092,This song makes me wanna raise the red and white flag on Himalaya mountain,this song makes me wanna raise the red and white flag on himalaya mountain
@adelaidemey4911,"This song is killed
this is in another level
proud neighbor Timor-leste🇹🇱",this song is killed this is in another level proud neighbor timorleste
@adityggataudiri672,"Reza arap, Eka , Gerald , sara and all people behind the scene..
Congrats and thanks bro for making this amazing art",reza arap eka gerald sara and all people behind the scene congrats and thanks bro for making this amazing art
@yuniwahyuni1001,gak kerasa udah 5 tahun lagu ini dan aku masih terngiang,gak kerasa udah tahun lagu ini dan aku masih terngiang
@BOCAHDUGEM,YANG MASIH DENGARIN SAMPE SEKARANG MANA NI SUARA NYA,yang masih dengarin sampe sekarang mana ni suara nya
@yosu4ditya394,Punten Jawa like,punten jawa like
@otaku_chan5575,"I came from the challenge, this is the first time I listen to an Indonesian song 
And MAN That’s dope !! The melody is always in ma head ! From Morocco 🇲🇦",i came from the challenge this is the first time i listen to an indonesian song and man thats dope the melody is always in ma head from morocco
@yokjejalan,"I was born a fool
Aku dilahirkan sebagai orang bodoh
Broken all the rules
Merusak semua aturan
Seeing all null
Karena semuanya nol
Denying all of the truth
Menyangkal semua kebenaran


Everything has changed
Semuanya telah berubah
It all happened for a reason
Itu semua terjadi karena suatu alasan
Down from the first stage
Turun dari tahap pertama
It isn’t something we fought for
Itu bukan sesuatu yang kami perjuangkan


Never wanted this kind of pain
Tak pernah menginginkan rasa sakit seperti ini
Turned myself so cold and heartless
Mengubah diriku begitu dingin dan tak berperasaan
But one thing you should know
Tapi satu hal yang harus kau ketahui


'Kowe ra iso mlayu saka kesalahan
'Kamu tidak bisa lari dari kesalahan.
Ajining diri ana ing lathi'
Harga diri seseorang ada pada lidahnya (perkataanya)'


Pushing through the countless pain
Mendorong rasa sakit yang tak terhitung jumlahnya
And all I know that this love’s a bless and curse
Dan yang kutahu bahwa cinta ini adalah berkah dan kutukan",i was born a fool aku dilahirkan sebagai orang bodoh broken all the rules merusak semua aturan seeing all null karena semuanya nol denying all of the truth menyangkal semua kebenaran everything has changed semuanya telah berubah it all happened for a reason itu semua terjadi karena suatu alasan down from the first stage turun dari tahap pertama it isnt something we fought for itu bukan sesuatu yang kami perjuangkan never wanted this kind of pain tak pernah menginginkan rasa sakit seperti ini turned myself so cold and heartless mengubah diriku begitu dingin dan tak berperasaan but one thing you should know tapi satu hal yang harus kau ketahui kowe ra iso mlayu saka kesalahan kamu tidak bisa lari dari kesalahan ajining diri ana ing lathi harga diri seseorang ada pada lidahnya perkataanya pushing through the countless pain mendorong rasa sakit yang tak terhitung jumlahnya and all i know that this loves a bless and curse dan yang kutahu bahwa cinta ini adalah berkah dan kutukan
@Ttaqin9,"Pak Soekarno tersenyum melihat ini!!!
Semangat berkarya boss",pak soekarno tersenyum melihat ini semangat berkarya boss
@denyyudanto99,Oktober 2025 are still??,oktober are still
@indahramadhina661,"pertama kali denger lagu ini tuh dikantor krn ada temen yg puterin, langsung tanya INI LAGU SIAPA KEREN BANGETTT.
Baru diawal aja udah ngerasain kek ""ini musik yg dari dulu gw pengen woyyy"" karena emg seneng banget musik tradisional dr SMA udh main cetik (alat musik tradisional lampung) pas kuliah main gamelan.
Makin ketengah"" lagu ini makin apik banget ya ampun kok bisa buat musik sebagus ini.
Gatau kenapa kek ngerasa merinding dan bangga banget gitu dengerinnya:')
HARUS GO INTERNASIONAL!!!!!!!",pertama kali denger lagu ini tuh dikantor krn ada temen yang puterin langsung tanya ini lagu siapa keren bangettt baru diawal saja udah ngerasain kek ini musik yang dari dulu gw pengen woyyy karena emg seneng banget musik tradisional dr sma sudah main cetik alat musik tradisional lampung pas kuliah main gamelan makin ketengah lagu ini makin apik banget ya ampun kok bisa buat musik sebagus ini gatau kenapa kek ngerasa merinding dan bangga banget gitu dengerinnya harus go internasional
@meezoneky,"Ga kerasa ya, 2020 sudah 1 tahun",tidak kerasa ya sudah tahun
@xuieee0,kangen lagu ini,kangen lagu ini
@rameyzan,Salah satu musik Indonesia yang keren bgt. Tanpa plagiat konsep musik luar,salah satu musik indonesia yang keren banget tanpa plagiat konsep musik luar
@muhamaddzakiakram,"WG FOR FIFA WORLD CUP U20 2021 ""OFFICIAL MUSIC ARTIST""",wg for fifa world cup u official music artist
@alehartzler2027,"""Lathi"" Musik yg bergenre EDM pertama dari Indonesia yg gue SUKA. Lirik nya easy listening, Video clip nya  ganasss dark-Gothic, story nya cukup general) toxic relationship) tpi di kemas dgn EPIC. Bahaya ini utk musisi lain.

Congtatzzz bro!",lathi musik yang bergenre edm pertama dari indonesia yang gue suka lirik nya easy listening video clip nya ganasss darkgothic story nya cukup general toxic relationship tpi di kemas dengan epic bahaya ini utk musisi lain congtatzzz bro
@pangkasrambut8818,merinding!,merinding
@rengga6464,"Muda2han dgn video ini dpt, mengangkat budaya dan tari jawa, temenku ada yang cari nafkah dari tari dan atraksi ekstrim jawa dan penghasilannya kecil bgt, karena popularitas budaya tergeser jaman dan minat masyarakat untuk melestarikan, mulai menurun.",mudahan dengan video ini dpt mengangkat budaya dan tari jawa temenku ada yang cari nafkah dari tari dan atraksi ekstrim jawa dan penghasilannya kecil banget karena popularitas budaya tergeser jaman dan minat masyarakat untuk melestarikan mulai menurun
@pandhukurniawan944,"human : thats a amazing music video
dedemit youtube : siipi ying kisini giri giri nintin bli bli bli hilih kintil",human thats a amazing music video dedemit youtube siipi ying kisini giri giri nintin bli bli bli hilih kintil
@zidangmg617,"ONOK SENG MERINDING PASS LYRIC BHOSO JOWO NE?!!!! 

Seng podo Like",onok seng merinding pass lyric bhoso jowo ne seng podo like
@candrawiranata1206,100JUTA VIEWS?,juta views
@icaazainal9504,I’m from malaysia but i really love of jawa culture,im from malaysia but i really love of jawa culture
@heninggadas5574,Almost 50 millons baby...Lets goooooooo....,almost millons babylets goooooooo
@mel_fans-01,Bro i nostalgia...,bro i nostalgia
@laurazenda2412,"Ini baru karya anak bangsa, bukan lele.",ini baru karya anak bangsa bukan lele
@ve9209,"Wong jowo endi iki 
.
.
.
.
.",wong jowo endi iki
@irfanmontana,Sumpah ini lagu keren banget yg dislike generasi tiktok itu .Bung Karno pasti disurga bangga dengan karakter Indonesia dicampur dengan lagu ini .Gua doain go internasional amin,sumpah ini lagu keren banget yang dislike generasi tiktok itu bung karno pasti disurga bangga dengan karakter indonesia dicampur dengan lagu ini gua doain go internasional amin
@yogixfriends4,Lagu jaman covid-19,lagu jaman covid
@DlyySheeshh,"DENGERIN 1× : LAGU APA SIH GAJELAS
DENGERIN 2× : MASIH GAK PAHAM 
DENGERIN 3× : MANTEPP SLUURRR",dengerin lagu apa sih gajelas dengerin masih gak paham dengerin mantepp sluurrr
@Babebu,"Sopo sg Mrinding pass lirik jowone
Sg Podo like...",sopo sg mrinding pass lirik jowone sg podo like
@shofiyaalqanita3979,Lagu nya bagusss banget pesannya sangat mendalam aku suka,lagu nya bagusss banget pesannya sangat mendalam aku suka
@arvintokarijo8350,Woowwww! The song and video is sickkkk! As a javanese myself I am super proud to see and hear a representation of the javanese culture. Thank u! Greetings from Suriname! 🇸🇷🇸🇷🇸🇷🇸🇷,woo the song and video is sickkkk as a javanese myself i am super proud to see and hear a representation of the javanese culture thank u greetings from suriname
@reinaldirongrean9099,"Indonesia . Mana nih yang masih setia dengar musik ini Tahun 2021. . Tahun lalu Java, Tahun Ini Harus ada Dari Kalimantan, Sulawesi, sumatra Dll",indonesia mana nih yang masih setia dengar musik ini tahun tahun lalu java tahun ini harus ada dari kalimantan sulawesi sumatra dll
@disinibisa2987,"Mau dimana pun itu kalo udah puter lagu ini gak bakal bisa sekali lewat doang. Puter 100 kali juga aku lakuin. Wkwkwk 

Udah setahun aja ya, dan you are the best. 
Masuk di Billboard kereennn 
No 2 di  internasional 

Semangat terus karya anak bangsa.",mau dimana pun itu kalo udah puter lagu ini gak bakal bisa sekali lewat doang puter kali juga aku lakuin wkwkwk udah setahun saja ya dan you are the best masuk di billboard kereennn no di internasional semangat terus karya anak bangsa
@megachan.wings138,Edm + Gamelan = mantap,edm gamelan mantap
@ranggawidiyantoro6756,"Orang jawa asli pas lirik Ajining diri soko lathi pasti merinding asli


#WONGJOWORAILANGJAWANE!",orang jawa asli pas lirik ajining diri soko lathi pasti merinding asli wongjoworailangjawane
@Vista8899,"Damn..! It's an incredible music and song both at the same time. I ️ it so much.
Proud to be an Indonesian..",damn its an incredible music and song both at the same time i it so much proud to be an indonesian
@ekaputra924,"Udah sepi yg nonton, ayo lah tembusin 100jt view",udah sepi yang nonton ayo lah tembusin jt view
@kedondongofficial,Tiba tiba kangen lagu ini,tiba tiba kangen lagu ini
@donii969,kok komentar nya rata2 banyak dapat like ya?,kok komentar nya rata banyak dapat like ya
@Hajiwth,"We love Indonesia🇮🇩🇵🇭
(edited) thank you guys for the likes",we love indonesia edited thank you guys for the likes
@StoryFiaAsyad,Dalam hati “gw kudu ikut komen sama like semua komen biar jadi tranding ini lagu” keren wouyyy !! Pegel pegel dah tangan :(,dalam hati gw kudu ikut komen sama like semua komen biar jadi tranding ini lagu keren wouyyy pegel pegel dah tangan
@Lalaela560,Nostalgia era,nostalgia era
@ucoktupamahu9997,"36 Millions view , and still kekeyi is no 1 on trending ? It's speechless , wow .",millions view and still kekeyi is no on trending its speechless wow
@joditaufiqurrahmanshalih8947,"Sumpah di didengerin berulaang ulaaangg kali gk ada bosennya smbil jlan kmna"" pke aerphon malah jdi candu Karya yg sngaat luar biasa tanpa battaass..!!! EDM dengan unsur budaya kita yg bkin good job mkin mantap trus berkarya & ciptakan musik"" Edm yg berkualitas sperti ini dri negeri menuju Dunia,,, Donald Trump tepuk tangan berkali"" ngeliat ini
Kim jong un tercengang ngeliat ini.",sumpah di didengerin berulaang ulaaangg kali tidak ada bosennya smbil jlan kmna pke aerphon malah jdi candu karya yang sngaat luar biasa tanpa battaass edm dengan unsur budaya kita yang bkin good job mkin mantap trus berkarya ciptakan musik edm yang berkualitas sperti ini dri negeri menuju dunia donald trump tepuk tangan berkali ngeliat ini kim jong un tercengang ngeliat ini
@blimbink1886,Gass 200 jt lurr...,gass jt lurr
@NuliaL-mq2lu,"The best song, the best performance",the best song the best performance
@NovaSya-zw1ni,This is very cool .. geez I have commented 2 × because this is very very very good .. From the beginning to the end nothing was lacking or ugly .. because uwaww is too good .. Lathi is an old Javanese language as far as I know ... and in the sense that Indonesian is tongue / speech ... maybe this is as far as I know,this is very cool geez i have commented because this is very very very good from the beginning to the end nothing was lacking or ugly because uwaww is too good lathi is an old javanese language as far as i know and in the sense that indonesian is tongue speech maybe this is as far as i know
@hernash-hk,This song made me goose bump  when the chorus take role,this song made me goose bump when the chorus take role
@madiosdios4545,FIX INI SIH YG DISLIKE PASTI ORANG GAPTEK DISANGKAIN TOMBOL DOWLOAD,fix ini sih yang dislike pasti orang gaptek disangkain tombol dowload
@SusiAuraWati,jadi ke inget sesuatu yang membuat ku lumayan trauma,jadi ke inget sesuatu yang membuat ku lumayan trauma
@senang_belajar19,"Ini yakin ga trending nih , what hapen of my country ? Apa cuma konten sampah yg bisa trending , woii ini karya cuk , sekelas global gini ga trending udah pada budek sama buta kali .",ini yakin tidak trending nih what hapen of my country apa cuma konten sampah yang bisa trending woii ini karya cuk sekelas global gini tidak trending udah pada budek sama buta kali
@ITZALYA_WOLF_,"AKU BANGGA SAMA KKSEMOGA LAGU INI JADI LAGU TERBAIK DI DUNIABIAR INDONESIA POPULER
LAGUNYA WOWWWWWWW AMATTTTT GILAAAAAAAAAAAAAYA TUHAN AKU SAMPAI TAK BISA BERKATA APA APASEMANGAT KABEST SONG EVERRRRRRRR♡♡♡♡♡♡♡♡♡♡♡♡♡♡♡",aku bangga sama kksemoga lagu ini jadi lagu terbaik di duniabiar indonesia populer lagunya wo amattttt gilaaaaaaaaaaaaaya tuhan aku sampai tak bisa berkata apa apasemangat kabest song everrrrrrrr
@robertjoe5858,This music no.1 in my playslist my IPHONE music Application,this music no in my playslist my iphone music application
@jaysoncastillano7284,This music makes me goosebump i really like the music most timely and unique. From Philippines🇵🇭,this music makes me goosebump i really like the music most timely and unique from philippines
@cilexkarta6371,"Weird genius
Emang jenius
Good job brother and sister
Like this song really like this",weird genius emang jenius good job brother and sister like this song really like this
@SamuelIDAja,"Jadi pengen ngumpulin orang yang abis nonton Lathi langsung liatin orang luar negeri Reaction Lathi juga 
Banyakan sih bilang karena bangga aja rasanya jadi pengen liat orang luar reaction ini",jadi pengen ngumpulin orang yang abis nonton lathi langsung liatin orang luar negeri reaction lathi juga banyakan sih bilang karena bangga saja rasanya jadi pengen liat orang luar reaction ini
@Muff_Channel,Still here,still here
@hyperxxx4494,"Bagi yang membaca mohon beri dukungan terbaik, terbanyak demi mengpresiasi karya Indonesia agar mereka mendapat tenaga, dan harapan bahwa mereka dihargai , agar usaha mereka tidak berhenti sampai disini. Dukung yang memberikan hal positif bagi negara mau karya sekecil apapun itu.mohon bantuannya",bagi yang membaca mohon beri dukungan terbaik terbanyak demi mengpresiasi karya indonesia agar mereka mendapat tenaga dan harapan bahwa mereka dihargai agar usaha mereka tidak berhenti sampai disini dukung yang memberikan hal positif bagi negara mau karya sekecil apapun itumohon bantuannya
@rnzkyryn,people who don't come here because of tiktok are legends,people who dont come here because of tiktok are legends
@aciakgaming1758,"Sumpah yaa,,,w bangga banget sebagai orang indonesia,,,skrg indonesia udah mulai jadi sorotan orang2 luar negri,semoga cepet kelar project lu yng baru bang arap,,,w bangga banget sama lu bang,,,trus berkarya bang,,,bodo amat lah ama bacot2 orang yng kaga jelas",sumpah yaaw bangga banget sebagai orang indonesiaskrg indonesia udah mulai jadi sorotan orang luar negrisemoga cepet kelar project lu yng baru bang arapw bangga banget sama lu bangtrus berkarya bangbodo amat lah ama bacot orang yng kaga jelas
@Izzanuraliyah,I used to wear this when I performed at school.,i used to wear this when i performed at school
@elrenagatha6978,"yeahh. go to top trending . indonesia jangan bodoh"" memilih lagi. jangan lagu yang gk jelas bisa trending... yoshhh we keep support this song",yeahh go to top trending indonesia jangan bodoh memilih lagi jangan lagu yang tidak jelas bisa trending yoshhh we keep support this song
@ikhsanskuyy2627,"Pertama denger , B aja
Kedua denger , B aja
Ketiga keinget terus sama lirik jawanya , lumayan suka
Ke empat , terobos ajalah anyink download",pertama denger b saja kedua denger b saja ketiga keinget terus sama lirik jawanya lumayan suka ke empat terobos ajalah anyink download
@luthfisyahrial,"ASLI TERHARU, baru kali ini lagu EDM+Tradisional bikin BANGGA INDONESIA!!!",asli terharu baru kali ini lagu edmtradisional bikin bangga indonesia
@RismanSolsagann,WHAT A GREAT SONG,what a great song
@mariasusanti928,"Karya bangsa sndiri kok masih di dislike ya
Padahal keren bgt",karya bangsa sndiri kok masih di dislike ya padahal keren banget
@desria1772,Balek ke sini lagi setelah liat dance version dari 1Million Dance,balek ke sini lagi setelah liat dance version dari million dance
@ellafordaningsih902,Siapa yg ngulang2 lagunya sambil baca komentar yg keren2 ini likenya manaaa,siapa yang ngulang lagunya sambil baca komentar yang keren ini likenya manaaa
@AlviAaa-y91,Who would have thought that the person who made this song came from Indonesia,who would have thought that the person who made this song came from indonesia
@eake1439,"The witch is like comes from suicide squad villain,the light from the man look from the Avatar
Overall,I love it,rich with cultures
Maybe the next Alan Walker???",the witch is like comes from suicide squad villainthe light from the man look from the avatar overalli love itrich with cultures maybe the next alan walker
@euphoriabunyy,Indonesia bagus salam dari Malaysia,indonesia bagus salam dari malaysia
@RavinsBoyizDrop,Tembusin 8 juta likes agar masuk 100 besar lagu dengan like terbanyak di dunia!!!!,tembusin juta likes agar masuk besar lagu dengan like terbanyak di dunia
@fulanahbintifulan1445,"Asli merinding
Ags'25 kumpul..",asli merinding ags kumpul
@faa4792,Seng ngoroso awak e wong jowo like e slur,seng ngoroso awak e wong jowo like e slur
@zaidanzf_,if lathi hit 100m views it would be LIT,if lathi hit m views it would be lit
@sakuzya7090,The culture mix with modern make masterpiece like this,the culture mix with modern make masterpiece like this
@sydj696,"5 tahun lepas sia dah 2025 days
10/8/2025",tahun lepas sia dah days
@nadyasavira0422,Emg keren bgt sih ini lagu. Sampe hari ini gue dengerin pun masih merinding denger nya.,emg keren banget sih ini lagu sampe hari ini gue dengerin pun masih merinding denger nya
@metrizalkomet8365,"I'm from brazil,, i like this song so muchhh",im from brazil i like this song so muchhh
@imammaulana9778,Aku anak melayu riau bangga jadi anak indonesia🇮🇩🇮🇩🇮🇩,aku anak melayu riau bangga jadi anak indonesia
@acayamayama5136,Lathi : Lidah yang berarti kau tidak bisa lari dari perkataan mu itu,lathi lidah yang berarti kau tidak bisa lari dari perkataan mu itu
@shofiyahfathani3150,Yang dislike fix yg beli kuota harian nih pasti karna ga bisa nntn video smpe habis-_- masak video sebagus ini ada yg dislike,yang dislike fix yang beli kuota harian nih pasti karna tidak bisa nntn video smpe habis masak video sebagus ini ada yang dislike
@kharismanadagroup757,Gua gak bisa komentar apa apa ...luar bisa bangett... Keren salam dari rusia..,gua gak bisa komentar apa apa luar bisa bangett keren salam dari rusia
@aviansyahibrahim5778,"Akhir tahun 100jt view, yok Indonesia bisa",akhir tahun jt view yok indonesia bisa
@GabrianIvander,This song made by Indonesia wow,this song made by indonesia wow
@kristian_sibarani,"Lets be honest, this wasn't in your recommendation, u searched for it...",lets be honest this wasnt in your recommendation u searched for it
@feli.c9910,we need a petition for gmmtv to use this music as 'the gifted: graduation' ost,we need a petition for gmmtv to use this music as the gifted graduation ost
@yukris5644,"Semoga bisa 100 juta
1 Juni 2020 : 34 juta",semoga bisa juta juni juta
@4bdoe.e,THIS IS INDONESIA️,this is indonesia
@nyenyenye630,"Yang harus trending#1 itu ini bukan, boneka boneka boneka gak jelas, ini karya memperkenalkan tanah air 🇮🇩🇮🇩🇮🇩🇮🇩",yang harus trending itu ini bukan boneka boneka boneka gak jelas ini karya memperkenalkan tanah air
