Ngram,Count
ngeliat ini,2
tak terhitung,2
tak terhitung jumlahnya,2
tapi karo,2
masih dengerin lagu,2
masih setia,2
masih suka,2
me goosebumps,2
me gusta,2
melakukan harga,2
melakukan harga diri,2
membuat diri,2
membuat diri saya,2
menyangkal semua,2
menyangkal semua kebenaran,2
merinding ya,2
and over,2
and song,2
masih ada,2
masih ada yang,2
orang luar negeri,2
orang yang,2
over again,2
over and,2
over and over,2
own country,2
and all people,2
pain turn,2
tahun lalu,2
tahun saja,2
tahun tapi,2
tak bisa,2
tak bisa berkata,2
lot indonesian,2
love from,2
love indonesia,2
loveeee yooo,2
the next,2
the song is,2
the vocals the,2
there is an,2
they are,2
this and,2
luar negeri,2
makes me,2
making this,2
masa covid,2
masa masa,2
masa masa covid,2
lebih dari,2
lebih dari kata,2
left the,2
left the chat,2
lidah katakata,2
like dan,2
anda ketahui,2
anda ketahui anda,2
anda tidak,2
like terbanyak,2
like terbanyak di,2
like the music,2
lingsir wengi,2
lirik jawanya,2
listening to,2
long time,2
lagu ini jadi,2
lagu nya,2
lagu sampe,2
tapi karo party,2
telah berubah,2
tembus jt,2
terbanyak di,2
terhitung jumlahnya,2
party wg,2
pasti merinding,2
people who,2
an indonesian am,2
pernah ingin,2
lagunya keren,2
lari dari kesalahan,2
lathi and,2
know star,2
know star part,2
know who,2
know who is,2
ko gw,2
koe ra,2
koe ra iso,2
komen yang,2
this is indonesian,2
this is such,2
this is very,2
aku bangga,2
this music is,2
this music video,2
this on tiktok,2
lagi di,2
kata keren,2
ke sini,2
kehormatan diri,2
kerasa udah tahun,2
keren banget sih,2
keren keren,2
keren sih,2
kesalahan anda,2
kesini lagi,2
kesurupan njir,2
ketahui anda,2
ketahui anda tidak,2
anyone here,2
anyone here in,2
know java,2
know java kowe,2
suatu alasan,2
suatu hari,2
kalau denger,2
kali ini,2
kalo ini,2
kalo udah,2
kamu tidak,2
kamu tidak bisa,2
kangen lagu,2
kangen lagu ini,2
karena bangga,2
karena suatu,2
karena suatu alasan,2
karo dugem,2
karo party,2
karya yang,2
just my,2
just my opinion,2
juta like,2
juta views,2
pernah ingin rasa,2
pertama itu,2
pertama itu bukan,2
pertama kali,2
play it,2
play it over,2
podo like,2
produce this,2
produce this music,2
proud of you,2
proud to be,2
stop listening,2
itu bukan sesuatu,2
jadi pengen,2
java kowe,2
java kowe ra,2
javanese culture,2
jawa ini,2
this one,2
this song and,2
this song made,2
this song so,2
this was,2
this you,2
tiba tiba,2
jawa nya,2
jowo like,2
jt viewers,2
it isnt for,2
it just,2
suka banget,2
tahap pertama itu,2
rasa sakit seperti,2
rasa sakit yang,2
react lathi dong,2
really like this,2
really love,2
saja nih,2
saja ternyata,2
sakit seperti,2
it on,2
it over,2
it over and,2
its my,2
is no,2
is on,2
is such,2
tidak asal,2
tidak asal asalan,2
tidak berenti,2
tidak berperasaan,2
tidak berperasaan tetapi,2
tidak kerasa,2
tidak pernah,2
tidak pernah ingin,2
tidak terasa,2
isnt for,2
isnt for something,2
it cuz,2
are so,2
ini harus,2
ini jadi,2
ini keren,2
ini keren banget,2
ini lagu keren,2
as far,2
as far as,2
ini membuat,2
ini membuat diri,2
ini yang,2
instrument apa,2
international and,2
is amazing,2
is awesome,2
is good,2
is indonesian,2
asal asalan,2
ingin rasa,2
ingin rasa sakit,2
sakit seperti ini,2
sakit yang,2
sakit yang tak,2
salam dari malaysia,2
sama like,2
sama ni,2
sama ni lagu,2
sampe di,2
sampe keluar,2
